isin,year,scope_1,scope_2,scope_3
JP3573000001,2007,102000.0,108000.0,
JP3429800000,2007,6700000.0,,
,2007,1298000.0,,
,2007,1048924.0,,
JP3210200006,2007,217768.0,,
JP3449020001,2007,36100000.0,1600000.0,
JP3605400005,2007,33908840.0,,
JP3246400000,2007,9000.0,26591000.0,
,2007,479514.0,,
JP3735400008,2007,76000.0,3700000.0,
JP3165600002,2007,270000.0,,
,2007,12027651.0,,
,2007,45360000.0,,
KR7005930003,2007,4056000.0,4012000.0,
NL0011821202,2007,113708.0,227555.0,
NL0000009165,2007,1016000.0,,
NL0000009538,2007,326100.0,,
NL0013267909,2007,3200000.0,2000000.0,
NL0009739416,2007,648800.0,133500.0,
NL0000009082,2007,56300.0,552300.0,0.0
NL0010273215,2007,24890.0,38650.0,
NL0000303709,2007,9001.0,68224.0,
GB00B03MLX29,2007,98000000.0,,
NZCENE0001S6,2007,2477000.0,,550.0
NZFBUE0001S0,2007,1027691.0,403755.0,
NZAIAE0002S6,2007,1687.0,6555.0,
NO0010208051,2007,18000000.0,,
NO0005052605,2007,6300000.0,8000000.0,
NO0010096985,2007,10500000.0,165000.0,
,2007,14532.0,207642.0,
RU0009024277,2007,289100.0,,
,2007,99293100.0,,
ES0143416115,2007,16127.23,41687.62,
ES0130670112,2007,82914521.0,1716833.0,
ES0105200416,2007,7484316.0,388759.0,
ES0118594417,2007,1277.7,,
ES0130960018,2007,316120.0,94126.0,
ES0171996087,2007,15425.0,25309.0,
ES0173093024,2007,31778.0,1153428.0,1153.0
ES0173516115,2007,26492885.0,1545939.0,
ES0124244E34,2007,2627.0,33947.0,
ES0113211835,2007,4010.0,259678.0,48116.0
ES0144580Y14,2007,21964784.0,3475029.0,
ES0152503035,2007,228.37,4337.83,
SE0014684528,2007,49800.0,57000.0,
SE0011166974,2007,725.0,9989.0,
SE0000171100,2007,3456725.0,,
SE0000310336,2007,1827.0,30000.0,
SE0011090018,2007,481900.0,490362.0,
SE0000108656,2007,8000.0,153000.0,
SE0000112724,2007,6032000.0,,
SE0000667891,2007,202000.0,268000.0,
SE0000108227,2007,92745.0,480572.0,
SE0006993770,2007,11088.0,,
SE0012455673,2007,189936.0,393639.0,
SE0000667925,2007,3166.0,104506.0,
SE0000114837,2007,140200.0,78000.0,
