,0,1,2
scope,scope_1,scope_2,scope_3
imputer,RevenueQuantileBucketImputer,RevenueQuantileBucketImputer,RevenueQuantileBucketImputer
fin_transformer,PowerTransformer,PowerTransformer,PowerTransformer
cat_transformer,TargetEncoder,TargetEncoder,TargetEncoder
scope_transformer,LogTargetScaler,LogTargetScaler,LogTargetScaler
preprocessor,IIDPreprocessor,IIDPreprocessor,IIDPreprocessor
feature_selector,DummyFeatureReducer,DummyFeatureReducer,DummyFeatureReducer
scope_estimator,LGBEstimator,LGBEstimator,LGBEstimator
pipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline
stats.optimise.time,13.012388229370117,16.343883752822876,12.809012413024902
stats.optimise.num_datapoints,539,528,314
stats.fit.time,2.160160779953003,1.9373180866241455,1.5557644367218018
stats.fit.num_datapoints,539,528,314
stats.fit_confidence.time,0.6609973907470703,0.7812709808349609,0.7127456665039062
stats.fit_confidence.num_datapoints,539,528,314
raw.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
raw.sMAPE,0.776925219232955,0.6520209322759684,0.9850126519639241
raw.R2,0.7409142703666696,0.8600802227687023,0.2001658659100729
raw.MAE,32757.30409830248,29867.92124467269,36580.25934815032
raw.RMSE,2220778.561150537,681553.1992744361,28978603.094883222
raw.MAPE,40.28041231684367,3.045463647310266,14.31848722999392
raw.offset_percentile.50%,1.8976337115217614,1.5923680714629025,3.013498861226778
raw.offset_percentile.75%,3.7420804214097094,3.0210685244980495,6.767231339306118
raw.offset_percentile.90%,10.682696664338843,7.471500963286324,12.876253342175694
raw.offset_percentile.95%,22.826270122942283,12.89349230422433,65.24879119696544
test.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
test.sMAPE,0.11990717449917547,0.08129358728189892,0.13266802678709544
test.R2,0.7391912775413918,0.7406653328810522,0.5861992725095543
test.MAE,0.639382458783837,0.4652215541060922,1.1030920377970794
test.RMSE,1.5759739582263148,1.1787865459461098,1.9248606679120597
test.MAPE,0.16369323258382992,0.08694698105892718,0.14392773437617873
