,0,1,2
scope,scope_1,scope_2,scope_3
imputer,RevenueQuantileBucketImputer,RevenueQuantileBucketImputer,RevenueQuantileBucketImputer
fin_transformer,RobustScaler,RobustScaler,RobustScaler
cat_transformer,TargetEncoder,TargetEncoder,TargetEncoder
scope_transformer,LogTargetScaler,DummyTargetScaler,DummyTargetScaler
preprocessor,IIDPreprocessor,IIDPreprocessor,IIDPreprocessor
feature_selector,DummyFeatureReducer,DummyFeatureReducer,DummyFeatureReducer
scope_estimator,SupportVectorEstimator,SupportVectorEstimator,SupportVectorEstimator
pipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline
stats.optimise.time,4.280102968215942,4.797031402587891,3.5320467948913574
stats.optimise.num_datapoints,10313,9896,5907
stats.fit.time,0.29990673065185547,0.28060126304626465,0.2566041946411133
stats.fit.num_datapoints,10313,9896,5907
stats.fit_confidence.time,0.9659550189971924,1.035766839981079,0.4481027126312256
stats.fit_confidence.num_datapoints,10313,9896,5907
raw.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
raw.sMAPE,1.0516912084355376,1.1580867926884357,1.377287682680582
raw.R2,0.194955868611827,-0.06750104982571181,-0.04455289303203536
raw.MAE,74042.24197424464,112500.0666234616,63330.85524498204
raw.RMSE,12264735.811686844,2476709.5428878223,55533866.50869148
raw.MAPE,60.854313468046534,39.65075375030669,32.518540542143306
raw.offset_percentile.50%,3.328385303925674,4.012573291822338,8.573925848233122
raw.offset_percentile.75%,9.213766993877389,12.059243652328927,55.58964644516606
raw.offset_percentile.90%,26.900938406621822,36.26868888585407,318.0683828001141
raw.offset_percentile.95%,59.462160054318204,74.81199513693187,1005.0718039440034
test.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
test.sMAPE,0.15164133769424418,1.1580867926884357,1.377287682680582
test.R2,0.5840024037502338,-0.06750104982571181,-0.04455289303203536
test.MAE,1.2024862791917812,112500.0666234616,63330.85524498204
test.RMSE,2.0438520056449194,2476709.5428878223,55533866.50869148
test.MAPE,0.2044916921366123,39.65075375030669,32.518540542143306
