,0,1,2
scope,scope_1,scope_2,scope_3
imputer,DummyImputer,DummyImputer,DummyImputer
fin_transformer,PowerTransformer,PowerTransformer,PowerTransformer
cat_transformer,TargetEncoder,TargetEncoder,TargetEncoder
scope_transformer,LogTargetScaler,LogTargetScaler,LogTargetScaler
preprocessor,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor
feature_selector,SelectionFeatureReducer,SelectionFeatureReducer,SelectionFeatureReducer
scope_estimator,FastSupportVectorEstimator,FastSupportVectorEstimator,FastSupportVectorEstimator
pipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline
train.confidence_rating_detailed.2.cnt,802,525,585
train.confidence_rating_detailed.3.left,50.0,50.0,50.0
train.confidence_rating_detailed.3.right,100.0,100.0,100.0
train.confidence_rating_detailed.3.cnt,186,117,149
train.confidence_rating_detailed.4.left,100.0,100.0,100.0
train.confidence_rating_detailed.4.right,200.0,200.0,200.0
train.confidence_rating_detailed.4.cnt,69,37,44
train.confidence_rating_detailed.5.left,200.0,200.0,200.0
train.confidence_rating_detailed.5.right,inf,inf,inf
train.confidence_rating_detailed.5.cnt,18,30,14
optimal_params.epsilon,0.15893803096204837,0.08459203474921595,0.18291130683942122
optimal_params.C,1.7196383829141577,0.5924282748162991,0.8010369075134405
cfg.preprocessor.fin_transformer,PowerTransformer,PowerTransformer,PowerTransformer
cfg.preprocessor.cat_transformer,TargetEncoder,TargetEncoder,TargetEncoder
cfg.preprocessor.imputer,DummyImputer,DummyImputer,DummyImputer
cfg.preprocessor.copy,True,True,True
cfg.preprocessor.method,yeo-johnson,yeo-johnson,yeo-johnson
cfg.preprocessor.standardize,True,True,True
cfg.preprocessor.cols,"['ft_catm_country_code', 'ft_catm_exchange', 'ft_catm_industry_name', 'ft_catm_region', 'ft_catm_sector_name', 'ft_catm_sub_region']","['ft_catm_country_code', 'ft_catm_exchange', 'ft_catm_industry_name', 'ft_catm_region', 'ft_catm_sector_name', 'ft_catm_sub_region']","['ft_catm_country_code', 'ft_catm_exchange', 'ft_catm_industry_name', 'ft_catm_region', 'ft_catm_sector_name', 'ft_catm_sub_region']"
cfg.preprocessor.drop_invariant,False,False,False
cfg.preprocessor.handle_missing,value,value,value
cfg.preprocessor.handle_unknown,value,value,value
cfg.preprocessor.hierarchy,,,
cfg.preprocessor.min_samples_leaf,20,20,20
cfg.preprocessor.return_df,True,True,True
cfg.preprocessor.smoothing,10,10,10
cfg.preprocessor.verbose,0,0,0
