,0,1,2
scope,scope_1,scope_2,scope_3
imputer,RevenueQuantileBucketImputer,RevenueQuantileBucketImputer,RevenueQuantileBucketImputer
fin_transformer,RobustScaler,RobustScaler,RobustScaler
cat_transformer,TargetEncoder,TargetEncoder,TargetEncoder
scope_transformer,LogTargetScaler,DummyTargetScaler,DummyTargetScaler
preprocessor,IIDPreprocessor,IIDPreprocessor,IIDPreprocessor
feature_selector,DummyFeatureReducer,DummyFeatureReducer,DummyFeatureReducer
scope_estimator,SupportVectorEstimator,SupportVectorEstimator,SupportVectorEstimator
pipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline
stats.optimise.time,5.426743507385254,4.982929944992065,3.2944538593292236
stats.optimise.num_datapoints,10313,9896,5907
stats.fit.time,0.36065006256103516,0.311478853225708,0.22684621810913086
stats.fit.num_datapoints,10313,9896,5907
stats.fit_confidence.time,1.0327391624450684,0.9751949310302734,0.4758119583129883
stats.fit_confidence.num_datapoints,10313,9896,5907
raw.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
raw.sMAPE,1.0374570064180342,1.1572383142030096,1.355556698431534
raw.R2,0.10779995100595674,-0.04769794871061728,-0.033424411419986866
raw.MAE,84447.19100821897,108745.95797533705,43363.86173532992
raw.RMSE,14278665.40077013,2903958.57789331,85850285.75092712
raw.MAPE,256.5284600766626,51.21889442868942,31.157809277139123
raw.offset_percentile.50%,3.1600262917103787,4.078012538304086,7.962312211802058
raw.offset_percentile.75%,8.444466984755095,12.09983250600401,63.79879025666034
raw.offset_percentile.90%,29.282278213743822,36.135149600592854,511.91753701045184
raw.offset_percentile.95%,77.09803749403292,78.48298572822931,1724.5934014696845
test.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
test.sMAPE,0.15093264920613556,1.1572383142030096,1.355556698431534
test.R2,0.5802715151179859,-0.04769794871061728,-0.033424411419986866
test.MAE,1.150578120899267,108745.95797533705,43363.86173532992
test.RMSE,2.09352930197519,2903958.57789331,85850285.75092712
test.MAPE,0.2860875905357413,51.21889442868942,31.157809277139123
