,0,1,2
scope,scope_1,scope_2,scope_3
imputer,RevenueQuantileBucketImputer,RevenueQuantileBucketImputer,RevenueQuantileBucketImputer
fin_transformer,PowerTransformer,PowerTransformer,PowerTransformer
cat_transformer,TargetEncoder,TargetEncoder,TargetEncoder
scope_transformer,LogTargetScaler,LogTargetScaler,LogTargetScaler
preprocessor,IIDPreprocessor,IIDPreprocessor,IIDPreprocessor
feature_selector,PCAFeatureReducer,PCAFeatureReducer,PCAFeatureReducer
scope_estimator,LGBEstimator,LGBEstimator,LGBEstimator
pipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline
stats.optimise.time,2.867546796798706,2.8099403381347656,2.1521592140197754
stats.optimise.num_datapoints,556,543,331
stats.fit.time,0.46879100799560547,0.5301260948181152,0.45751094818115234
stats.fit.num_datapoints,556,543,331
stats.fit_confidence.time,0.17089390754699707,0.17138195037841797,0.1659526824951172
stats.fit_confidence.num_datapoints,556,543,331
raw.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
raw.sMAPE,1.1064993754780716,0.856148949243299,1.2716771743405595
raw.R2,0.4786206728906254,0.5227770975327249,0.299793086473931
raw.MAE,65356.38180226814,64012.43275437642,87997.1009685284
raw.RMSE,6535870.927063459,711072.390342312,32992980.600724544
raw.MAPE,29.35716005532591,5.608974156380636,24.566519809621738
raw.offset_percentile.50%,3.380505301785421,2.3933827453484446,6.977795886467451
raw.offset_percentile.75%,12.299988334752465,4.422200974855032,23.666082069421925
raw.offset_percentile.90%,39.68078562122085,16.08174066067288,48.81232173525974
raw.offset_percentile.95%,85.10408156093126,44.747534735790175,64.44235023062858
test.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
test.sMAPE,0.15939058482401083,0.11144274713749333,0.189348139821475
test.R2,0.4337375092158128,0.4133169639104386,0.5297254938702878
test.MAE,1.2180030729910971,0.8724701836922355,1.9427329924679668
test.RMSE,2.211029910111079,1.602495963925752,2.5132809716479536
test.MAPE,0.17150404851475615,0.11820815988737175,0.20440917645359158
