,0,1,2
scope,scope_1,scope_2,scope_3
imputer,RevenueQuantileBucketImputer,RevenueQuantileBucketImputer,RevenueQuantileBucketImputer
fin_transformer,PowerTransformer,PowerTransformer,PowerTransformer
cat_transformer,TargetEncoder,TargetEncoder,TargetEncoder
scope_transformer,LogTargetScaler,DummyTargetScaler,DummyTargetScaler
preprocessor,IIDPreprocessor,IIDPreprocessor,IIDPreprocessor
feature_selector,DummyFeatureReducer,DummyFeatureReducer,DummyFeatureReducer
scope_estimator,SupportVectorEstimator,SupportVectorEstimator,SupportVectorEstimator
pipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline
stats.optimise.time,7.398770093917847,7.949218273162842,5.458796501159668
stats.optimise.num_datapoints,10313,9896,5907
stats.fit.time,0.523425817489624,0.49790525436401367,0.36191463470458984
stats.fit.num_datapoints,10313,9896,5907
stats.fit_confidence.time,1.1406514644622803,1.5926191806793213,0.6595351696014404
stats.fit_confidence.num_datapoints,10313,9896,5907
raw.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
raw.sMAPE,0.7973809703968245,1.138166061137789,1.3477044067352382
raw.R2,0.06006613732446786,-0.04219966854574597,-0.04261423407422971
raw.MAE,50320.30045779713,109563.24943093238,40570.628547161534
raw.RMSE,19719784.6457317,2908146.842447282,60343145.187731996
raw.MAPE,27.266153174118223,34.005190003603545,18.609535417155396
raw.offset_percentile.50%,2.0609605614266235,3.938835989288982,8.07254632007202
raw.offset_percentile.75%,4.204000888581228,11.538757420703,49.39088090440943
raw.offset_percentile.90%,11.533186490993947,32.38139106849226,337.4577058902187
raw.offset_percentile.95%,25.22064130757164,73.5403418113307,1219.6022105800598
test.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
test.sMAPE,0.10583592261346887,1.138166061137789,1.3477044067352382
test.R2,0.7747211032279129,-0.04219966854574597,-0.04261423407422971
test.MAE,0.7231483774720235,109563.24943093238,40570.628547161534
test.RMSE,1.553830249725229,2908146.842447282,60343145.187731996
test.MAPE,0.12793274792997,34.005190003603545,18.609535417155396
