,0,1,2
scope,scope_1,scope_2,scope_3
imputer,RevenueQuantileBucketImputer,RevenueQuantileBucketImputer,RevenueQuantileBucketImputer
fin_transformer,PowerTransformer,PowerTransformer,PowerTransformer
cat_transformer,TargetEncoder,TargetEncoder,TargetEncoder
scope_transformer,LogTargetScaler,LogTargetScaler,LogTargetScaler
preprocessor,IIDPreprocessor,IIDPreprocessor,IIDPreprocessor
feature_selector,PCAFeatureReducer,PCAFeatureReducer,PCAFeatureReducer
scope_estimator,LGBEstimator,LGBEstimator,LGBEstimator
pipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline
stats.optimise.time,3.0228049755096436,2.3220489025115967,2.489396810531616
stats.optimise.num_datapoints,527,512,311
stats.fit.time,0.4700431823730469,0.3486320972442627,0.38684916496276855
stats.fit.num_datapoints,527,512,311
stats.fit_confidence.time,0.19469404220581055,0.16742396354675293,0.17182207107543945
stats.fit_confidence.num_datapoints,527,512,311
raw.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
raw.sMAPE,1.0836002450169433,0.863206674368181,1.3495057171370555
raw.R2,0.14414829501726245,0.11525882971747436,-0.07281115279832129
raw.MAE,60050.79125397272,43488.364587665434,256799.38036191027
raw.RMSE,8379263.797020066,1280473.9932031217,19332293.566090852
raw.MAPE,28.57864635796429,3.6326941235430024,16.816065679781016
raw.offset_percentile.50%,3.7354318493036214,2.3447855016977233,6.884632859817737
raw.offset_percentile.75%,12.352120408743996,5.643506985807967,21.284841220402267
raw.offset_percentile.90%,39.85197683322477,12.233291650077227,44.51110541623275
raw.offset_percentile.95%,107.60199683054613,22.06082272988206,166.64625994800315
test.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
test.sMAPE,0.16442580191080716,0.1098199570969659,0.1921936095953409
test.R2,0.5265041395548609,0.5401670646026595,0.3780340059570768
test.MAE,1.3176448264948526,0.8521924429881791,1.9289822704396222
test.RMSE,2.2615974880816085,1.4801907049204823,2.646473382011237
test.MAPE,0.18777019653152707,0.11921944425467085,0.19831220736813845
