,0,1,2
scope,scope_1,scope_2,scope_3
imputer,RevenueQuantileBucketImputer,RevenueQuantileBucketImputer,RevenueQuantileBucketImputer
fin_transformer,PowerTransformer,PowerTransformer,PowerTransformer
cat_transformer,TargetEncoder,TargetEncoder,TargetEncoder
scope_transformer,LogTargetScaler,LogTargetScaler,LogTargetScaler
preprocessor,IIDPreprocessor,IIDPreprocessor,IIDPreprocessor
feature_selector,DummyFeatureReducer,PCAFeatureReducer,PCAFeatureReducer
scope_estimator,LinearRegressionEstimator,LGBEstimator,LGBEstimator
pipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline
stats.optimise.time,15.022448301315308,15.5694100856781,14.253964900970459
stats.optimise.num_datapoints,648,635,352
stats.fit.time,4.844871997833252,3.460204839706421,3.7001328468322754
stats.fit.num_datapoints,648,635,352
stats.fit_confidence.time,3.3139662742614746,3.2283987998962402,2.860717296600342
stats.fit_confidence.num_datapoints,648,635,352
raw.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
raw.sMAPE,inf,0.9011994990869039,1.1551123654723523
raw.R2,-inf,0.06143615236103095,-0.00868597754586431
raw.MAE,53840.703998169505,43266.72196355925,49855.66114117167
raw.RMSE,inf,4871968.759771814,100059153.63079135
raw.MAPE,2.0138781174646658e+301,4.692317944947044,49.49303037684974
raw.offset_percentile.50%,2.393099187847546,2.4332658599961605,4.862227260904986
raw.offset_percentile.75%,5.3513392444037615,5.4257580516120285,15.076212512741634
raw.offset_percentile.90%,23.884015233852594,18.999712271722103,104.0203766547205
raw.offset_percentile.95%,52.78864832588557,27.666881630455162,389.87189018826405
test.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
test.sMAPE,0.18805860125225088,0.11635636108120828,0.2030421877581852
test.R2,-2.1291113596295725e+46,0.567667345076035,0.4503904287090724
test.MAE,0.9221662387831504,0.888661180024144,1.5809873956739189
test.RMSE,5.3469547804968034e+23,1.6595568303511203,2.6852373902118414
test.MAPE,3.845142347700772e+21,0.12363420889827743,0.24865921945644062
