,0,1,2
scope,scope_1,scope_2,scope_3
imputer,RevenueQuantileBucketImputer,RevenueQuantileBucketImputer,RevenueQuantileBucketImputer
fin_transformer,RobustScaler,RobustScaler,RobustScaler
cat_transformer,TargetEncoder,TargetEncoder,TargetEncoder
scope_transformer,LogTargetScaler,DummyTargetScaler,DummyTargetScaler
preprocessor,IIDPreprocessor,IIDPreprocessor,IIDPreprocessor
feature_selector,DummyFeatureReducer,DummyFeatureReducer,DummyFeatureReducer
scope_estimator,SupportVectorEstimator,SupportVectorEstimator,SupportVectorEstimator
pipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline
stats.optimise.time,4.935615539550781,5.476021766662598,2.8792026042938232
stats.optimise.num_datapoints,10313,9896,5907
stats.fit.time,0.25760602951049805,0.2926599979400635,0.1869361400604248
stats.fit.num_datapoints,10313,9896,5907
stats.fit_confidence.time,0.8042161464691162,0.78009033203125,0.3952028751373291
stats.fit_confidence.num_datapoints,10313,9896,5907
raw.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
raw.sMAPE,1.0737822737053018,1.1422393510568865,1.3282901268456209
raw.R2,0.11657824559841412,-0.03779095784153874,-0.040413987426906495
raw.MAE,88763.73815022045,109709.22049756299,55718.696685325674
raw.RMSE,13809601.049944665,3406009.7284741066,58872028.4891554
raw.MAPE,230.88139613030904,95.80735946707053,40.72423342300212
raw.offset_percentile.50%,3.440545565072406,3.940741508735395,7.110747676813324
raw.offset_percentile.75%,9.026363672266967,11.704735798961735,46.75383098871827
raw.offset_percentile.90%,31.49997898592973,34.76432331234879,314.0417284017886
raw.offset_percentile.95%,71.29025527183019,80.9880473719124,925.9018364397047
test.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
test.sMAPE,0.15368331077004987,1.1422393510568865,1.3282901268456209
test.R2,0.5795659603846253,-0.03779095784153874,-0.040413987426906495
test.MAE,1.2355793830206796,109709.22049756299,55718.696685325674
test.RMSE,2.0920615632267463,3406009.7284741066,58872028.4891554
test.MAPE,0.4286271780139182,95.80735946707053,40.72423342300212
