,0,1,2
scope,scope_1,scope_2,scope_3
imputer,RevenueQuantileBucketImputer,RevenueQuantileBucketImputer,RevenueQuantileBucketImputer
fin_transformer,PowerTransformer,PowerTransformer,PowerTransformer
cat_transformer,TargetEncoder,TargetEncoder,TargetEncoder
scope_transformer,LogTargetScaler,LogTargetScaler,LogTargetScaler
preprocessor,IIDPreprocessor,IIDPreprocessor,IIDPreprocessor
feature_selector,DummyFeatureReducer,DummyFeatureReducer,DummyFeatureReducer
scope_estimator,LGBEstimator,LGBEstimator,LGBEstimator
pipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline
stats.optimise.time,10.690995693206787,8.346887588500977,7.377341985702515
stats.optimise.num_datapoints,1106,1056,637
stats.fit.time,1.865260362625122,2.3574719429016113,1.6427912712097168
stats.fit.num_datapoints,1106,1056,637
stats.fit_confidence.time,0.408794641494751,0.4228804111480713,0.3806126117706299
stats.fit_confidence.num_datapoints,1106,1056,637
raw.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
raw.sMAPE,0.4936105902236993,0.48238955237857517,0.8987479164316855
raw.R2,0.8376525040068117,0.808420330872936,0.7157278413690327
raw.MAE,32926.152724491476,41902.894122067446,98047.10295678457
raw.RMSE,5254806.615843843,431896.9604965867,26782563.546488855
raw.MAPE,0.8440646418629195,3.203044976375006,13.492060930906622
raw.offset_percentile.50%,1.4102440607267361,1.4082926035129055,2.3422316351395365
raw.offset_percentile.75%,2.0811418636462595,2.0155839139755853,5.362080245005883
raw.offset_percentile.90%,3.7682484899653437,3.5417697527244276,19.797677970916716
raw.offset_percentile.95%,6.158045325465142,6.577163676672519,70.2791718211448
test.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
test.sMAPE,0.05636791738269751,0.059085053062845345,0.11442390973775636
test.R2,0.9324442260747913,0.8034987534499438,0.7233749386725135
test.MAE,0.3437625039890655,0.3423765676657835,0.8505664041808565
test.RMSE,0.8079159790657978,0.9655569931878709,1.876465553920589
test.MAPE,0.058064081425702026,0.072163038443473,0.11745721242582674
