,0,1,2
scope,scope_1,scope_2,scope_3
imputer,RevenueQuantileBucketImputer,RevenueQuantileBucketImputer,RevenueQuantileBucketImputer
fin_transformer,PowerTransformer,PowerTransformer,PowerTransformer
cat_transformer,TargetEncoder,TargetEncoder,TargetEncoder
scope_transformer,LogTargetScaler,DummyTargetScaler,DummyTargetScaler
preprocessor,IIDPreprocessor,IIDPreprocessor,IIDPreprocessor
feature_selector,DummyFeatureReducer,DummyFeatureReducer,DummyFeatureReducer
scope_estimator,SupportVectorEstimator,SupportVectorEstimator,SupportVectorEstimator
pipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline
stats.optimise.time,6.149789333343506,6.376940965652466,4.299269199371338
stats.optimise.num_datapoints,10313,9896,5907
stats.fit.time,0.5086488723754883,0.4636056423187256,0.3771846294403076
stats.fit.num_datapoints,10313,9896,5907
stats.fit_confidence.time,0.9630756378173828,0.9833672046661377,0.6203641891479492
stats.fit_confidence.num_datapoints,10313,9896,5907
raw.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
raw.sMAPE,0.7744174500502915,1.1483552123580894,1.3850650595189173
raw.R2,0.15857753104265937,-0.0393414203898097,-0.042680705134786834
raw.MAE,37921.70634532139,122176.41314282948,74651.68010263843
raw.RMSE,15438279.598118579,2965320.76676356,60831958.23524343
raw.MAPE,8.234359430466876,68.78747016208911,35.80864002216558
raw.offset_percentile.50%,1.9052279256688935,3.9914170962328783,8.593050346397195
raw.offset_percentile.75%,4.2805424478727065,11.42518690674516,50.98496365736751
raw.offset_percentile.90%,13.82981397427959,40.73936161429001,289.2657411976375
raw.offset_percentile.95%,27.136845272930913,85.9707543515176,728.6526408083433
test.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
test.sMAPE,0.10287858798712074,1.1483552123580894,1.3850650595189173
test.R2,0.768777662113622,-0.0393414203898097,-0.042680705134786834
test.MAE,0.6444471308850304,122176.41314282948,74651.68010263843
test.RMSE,1.5429982883270434,2965320.76676356,60831958.23524343
test.MAPE,0.11543325286468686,68.78747016208911,35.80864002216558
