,0,1,2
scope,scope_1,scope_2,scope_3
imputer,RevenueQuantileBucketImputer,RevenueQuantileBucketImputer,RevenueQuantileBucketImputer
fin_transformer,RobustScaler,RobustScaler,RobustScaler
cat_transformer,TargetEncoder,TargetEncoder,TargetEncoder
scope_transformer,LogTargetScaler,DummyTargetScaler,DummyTargetScaler
preprocessor,IIDPreprocessor,IIDPreprocessor,IIDPreprocessor
feature_selector,DummyFeatureReducer,DummyFeatureReducer,DummyFeatureReducer
scope_estimator,SupportVectorEstimator,SupportVectorEstimator,SupportVectorEstimator
pipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline
stats.optimise.time,4.483156204223633,4.818169355392456,2.9987149238586426
stats.optimise.num_datapoints,10313,9896,5907
stats.fit.time,0.25032806396484375,0.2736546993255615,0.20787930488586426
stats.fit.num_datapoints,10313,9896,5907
stats.fit_confidence.time,0.7257227897644043,0.7967178821563721,0.3793754577636719
stats.fit_confidence.num_datapoints,10313,9896,5907
raw.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
raw.sMAPE,1.0287606893768664,1.1550841220631038,1.3564052218448943
raw.R2,-0.0348984674115953,-0.04158036861815528,-0.04475274661891082
raw.MAE,71973.52278891527,89545.5189120741,57800.114716600256
raw.RMSE,14947888.095144315,3478991.0828280654,53499763.23452549
raw.MAPE,17.646788367719367,93.70291401362705,36.12821971152198
raw.offset_percentile.50%,3.129837334160326,4.0462921909290355,8.048485700728222
raw.offset_percentile.75%,7.719825343602347,11.954227972250688,49.35835583017669
raw.offset_percentile.90%,26.016474126938196,36.30862429635765,305.11988135884116
raw.offset_percentile.95%,58.21739327792475,75.72694104087776,948.2068876402375
test.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
test.sMAPE,0.1426901284127307,1.1550841220631038,1.3564052218448943
test.R2,0.6140227936497904,-0.04158036861815528,-0.04475274661891082
test.MAE,1.1409808206007952,89545.5189120741,57800.114716600256
test.RMSE,1.9518160773595907,3478991.0828280654,53499763.23452549
test.MAPE,0.16553862535148353,93.70291401362705,36.12821971152198
