,0,1,2
scope,scope_1,scope_2,scope_3
imputer,RevenueQuantileBucketImputer,RevenueQuantileBucketImputer,RevenueQuantileBucketImputer
fin_transformer,RobustScaler,RobustScaler,RobustScaler
cat_transformer,TargetEncoder,TargetEncoder,TargetEncoder
scope_transformer,LogTargetScaler,DummyTargetScaler,DummyTargetScaler
preprocessor,IIDPreprocessor,IIDPreprocessor,IIDPreprocessor
feature_selector,DummyFeatureReducer,DummyFeatureReducer,DummyFeatureReducer
scope_estimator,SupportVectorEstimator,SupportVectorEstimator,SupportVectorEstimator
pipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline
stats.optimise.time,5.933329343795776,5.767788648605347,2.832690954208374
stats.optimise.num_datapoints,10313,9896,5907
stats.fit.time,0.27210569381713867,0.2784585952758789,0.2077171802520752
stats.fit.num_datapoints,10313,9896,5907
stats.fit_confidence.time,0.951308012008667,0.9033901691436768,0.4795107841491699
stats.fit_confidence.num_datapoints,10313,9896,5907
raw.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
raw.sMAPE,1.0485982515574737,1.1577326714542815,1.3616103210923276
raw.R2,0.05875616002059891,-0.05005321630085935,-0.0383426910676401
raw.MAE,76257.51638176557,112662.45606731821,53705.48504862344
raw.RMSE,16404733.606345166,2772269.587116555,51815087.11654842
raw.MAPE,27.508868124542214,93.91966438188702,61.32179367272559
raw.offset_percentile.50%,3.146209225781349,4.122823245533256,7.423230368512322
raw.offset_percentile.75%,8.55562931696943,12.41316121353848,47.73520206220287
raw.offset_percentile.90%,29.627267499763217,38.50710387055874,276.33192994862486
raw.offset_percentile.95%,60.162769848003414,77.61276758549258,933.4008354281588
test.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
test.sMAPE,0.14781882646522918,1.1577326714542815,1.3616103210923276
test.R2,0.5991021678673016,-0.05005321630085935,-0.0383426910676401
test.MAE,1.1459453439219596,112662.45606731821,53705.48504862344
test.RMSE,2.0101720136829067,2772269.587116555,51815087.11654842
test.MAPE,0.175523543936933,93.91966438188702,61.32179367272559
