,0,1,2
scope,scope_1,scope_2,scope_3
imputer,RevenueQuantileBucketImputer,RevenueQuantileBucketImputer,RevenueQuantileBucketImputer
fin_transformer,PowerTransformer,PowerTransformer,PowerTransformer
cat_transformer,TargetEncoder,TargetEncoder,TargetEncoder
scope_transformer,LogTargetScaler,LogTargetScaler,LogTargetScaler
preprocessor,IIDPreprocessor,IIDPreprocessor,IIDPreprocessor
feature_selector,DummyFeatureReducer,DummyFeatureReducer,DummyFeatureReducer
scope_estimator,LGBEstimator,LGBEstimator,LGBEstimator
pipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline
stats.optimise.time,71.410484790802,77.78573369979858,31.87217116355896
stats.optimise.num_datapoints,10313,9896,5907
stats.fit.time,1.944751501083374,1.7033071517944336,1.2751498222351074
stats.fit.num_datapoints,10313,9896,5907
stats.fit_confidence.time,0.5376708507537842,0.414534330368042,0.337414026260376
stats.fit_confidence.num_datapoints,10313,9896,5907
raw.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
raw.sMAPE,0.6382367225578174,0.5419380252248085,0.9884960884799437
raw.R2,0.6928033269921794,0.36005116900439627,0.7033921795906208
raw.MAE,35257.92810256562,44080.39470624576,46662.056635541594
raw.RMSE,8782833.697840592,2303490.423717828,34819407.67205454
raw.MAPE,5.546008545310456,2.1826144633340814,182.36334415122977
raw.offset_percentile.50%,1.695277225146017,1.5177751810395919,2.889537568119927
raw.offset_percentile.75%,2.7880741912007263,2.287427005654437,7.137977781675176
raw.offset_percentile.90%,5.834361961690058,4.259081705587667,23.332857924953938
raw.offset_percentile.95%,10.78796135697674,7.028278882048373,58.63255266054384
test.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
test.sMAPE,0.08182316368926985,0.05956617578650849,0.13561150664114616
test.R2,0.8732496607386588,0.8153108188464677,0.6792357187036839
test.MAE,0.5278423084439741,0.4172451645814501,1.0610854114677029
test.RMSE,1.148692112760224,0.9328178318062684,1.9571664491624339
test.MAPE,0.09345097715948077,0.06507841739438469,0.16273593731214828
